state,district,total_enrolment,demographic_updates,biometric_updates,biometric_rate,demographic_rate,MSS,LWS,SOS,IRS,INS,MSS_score,LWS_score,SOS_score,IRS_score,INS_score,dominant_signal,uidai_action,overall_risk_score
ANDAMAN & NICOBAR ISLANDS,Andamans,75,750,2015,26.866666666666667,10.0,10000.0,2.686663980002687,26.866666666666667,0,0,1.9607843137254901,20.66726599940067,6.277258566978193,0,0,LWS_score,Upgrade biometric capture devices,5.781061776020871
ANDAMAN & NICOBAR ISLANDS,Nicobars,1,4,2,2.0,4.0,4000.0,0.49999875000312505,2.0,0,0,0.7843137254901961,3.8462596151201933,0.46728971962616817,0,0,LWS_score,Upgrade biometric capture devices,1.0195726120473116
ANDAMAN & NICOBAR ISLANDS,South Andaman,38,305,367,9.657894736842104,8.026315789473685,8026.315789473685,1.2032771893595673,9.657894736842104,0,0,1.5737874097007225,9.25625605904037,2.2565174618789965,0,0,LWS_score,Upgrade biometric capture devices,2.6173121861240176
ANDAMAN AND NICOBAR ISLANDS,Nicobar,75,787,1811,24.14666666666667,10.493333333333334,10493.333333333334,2.3011413902718645,24.14666666666667,0,0,2.0575163398692813,17.701618650104407,5.641744548286605,0,0,LWS_score,Upgrade biometric capture devices,5.080175907652058
ANDAMAN AND NICOBAR ISLANDS,North And Middle Andaman,132,2009,6383,48.35606060606061,15.219696969696969,15219.696969696968,3.1772005007940964,48.35606060606061,0,0,2.9842543077837194,24.44073705237785,11.29814500141603,0,0,LWS_score,Upgrade biometric capture devices,7.744627272315521
ANDAMAN AND NICOBAR ISLANDS,South Andaman,190,3391,10120,53.26315789473684,17.847368421052632,17847.368421052633,2.984368720052914,53.26315789473684,0,0,3.499484004127967,22.957371162419353,12.444663059517953,0,0,LWS_score,Upgrade biometric capture devices,7.780303645213055
ANDHRA PRADESH,Adilabad,1419,29291,52038,36.6723044397463,20.64200140944327,20642.00140944327,1.7765858041803775,36.6723044397463,0,0,4.0474512567535825,13.666454628880793,8.568295429847266,0,0,LWS_score,Upgrade biometric capture devices,5.256440263096328
ANDHRA PRADESH,Alluri Sitharama Raju,1255,12871,18607,14.826294820717132,10.255776892430278,10255.776892430278,1.4456516088161224,14.826294820717132,0,0,2.010936645574564,11.120730602802977,3.464087574933909,0,0,LWS_score,Upgrade biometric capture devices,3.3191509646622896
ANDHRA PRADESH,Anakapalli,543,13460,6723,12.38121546961326,24.788213627992633,24788.213627992634,0.49947973906575166,12.38121546961326,0,0,4.860434044704438,3.84226710352249,2.8928073527133784,0,0,MSS_score,Deploy mobile enrolment units,2.319101700188061
ANDHRA PRADESH,Anantapur,4415,68745,93565,21.1925254813137,15.570781426953568,15570.781426953568,1.3610435654946043,21.1925254813137,0,0,3.053094397441876,10.469879975396685,4.951524645166753,0,0,LWS_score,Upgrade biometric capture devices,3.694899803601063
ANDHRA PRADESH,Ananthapur,1994,30026,84132,42.1925777331996,15.058174523570711,15058.174523570711,2.801969763828779,42.1925777331996,0,0,2.9525832399158256,21.554260176320724,9.858078909626075,0,0,LWS_score,Upgrade biometric capture devices,6.872984465172524
ANDHRA PRADESH,Ananthapuramu,3187,55944,109602,34.39033573893944,17.553812362723566,17553.812362723565,1.9591365930630054,34.39033573893944,0,0,3.441923992690895,15.070733593544594,8.035125172649401,0,0,LWS_score,Upgrade biometric capture devices,5.309556551776978
ANDHRA PRADESH,Annamayya,1021,33634,9712,9.512242899118512,32.94221351616063,32942.21351616063,0.2887553384018551,9.512242899118512,0,0,6.459257552188358,2.2212615466308243,2.2224866586725494,0,0,MSS_score,Deploy mobile enrolment units,2.1806011514983465
ANDHRA PRADESH,Bapatla,492,13514,5982,12.158536585365853,27.46747967479675,27467.47967479675,0.44265190337077365,12.158536585365853,0,0,5.385780328391519,3.4051167917528833,2.840779576020059,0,0,MSS_score,Deploy mobile enrolment units,2.3263353392328923
ANDHRA PRADESH,Chittoor,8199,169636,251438,30.66691059885352,20.689840224417612,20689.84022441761,1.4822200386284694,30.66691059885352,0,0,4.056831416552472,11.402034655612526,7.165166027769514,0,0,LWS_score,Upgrade biometric capture devices,4.524806419986902
ANDHRA PRADESH,Cuddapah,5934,83667,170796,28.782608695652176,14.099595551061679,14099.595551061679,2.041376873375361,28.782608695652176,0,0,2.764626578639545,15.703370112935094,6.7249085737505085,0,0,LWS_score,Upgrade biometric capture devices,5.0385810530650295
ANDHRA PRADESH,Dr. B. R. Ambedkar Konaseema,665,14156,7306,10.986466165413534,21.28721804511278,21287.21804511278,0.5161060022531143,10.986466165413534,0,0,4.173964322571133,3.970165272562938,2.5669313470592368,0,0,MSS_score,Deploy mobile enrolment units,2.142212188438662
ANDHRA PRADESH,East Godavari,7678,156025,301850,39.31362333941131,20.321047147694713,20321.047147694713,1.9346249092100591,39.31362333941131,0,0,3.9845190485675905,14.882176522748736,9.185426013881147,0,0,LWS_score,Upgrade biometric capture devices,5.610424317039495
ANDHRA PRADESH,Eluru,629,17584,8230,13.084260731319555,27.955484896661368,27955.484896661368,0.4680389590556726,13.084260731319555,0,0,5.481467626796347,3.600407694034187,3.057070264326999,0,0,MSS_score,Deploy mobile enrolment units,2.4277891170315065
ANDHRA PRADESH,Guntur,9729,177221,291694,29.981909754342688,18.2157467365608,18215.7467365608,1.6459327047427064,29.981909754342688,0,0,3.5717150463844702,12.661400636337298,7.005119101481936,0,0,LWS_score,Upgrade biometric capture devices,4.647646956840741
ANDHRA PRADESH,Hyderabad,4840,36206,105744,21.84793388429752,7.480578512396694,7480.578512396694,2.92061698729873,21.84793388429752,1,0,1.46678010046994,22.46695850621807,5.104657449602225,100,0,IRS_score,Conduct audit and quality checks,25.807679211258044
